samsung|SM-A500H|5.0.2
samsung|SM-G361F|5.1.1
asus|Nexus 7|6.0.1
Sony|C6503|5.1.1
samsung|SM-P600|5.1.1
samsung|GT-I9505G|5.1
samsung|GT-I9300|6.0.1
samsung|SM-A500FU|5.1.1
samsung|SM-A700FD|5.0.2
LGE|LG-H818|5.1
HTC|HTC One E9s dual sim|5.0.2
samsung|SM-N910G|5.1.1
LGE|LG-H735|5.1.1
motorola|XT1572|6.0
Sony|D6633|5.1.1
samsung|GT-I9505|6.0.1
Sony|D2502|5.0.2
samsung|GT-I9190|6.0.1
HTC|0PM92|6.0.1
asus|P024|5.0.2
LGE|LG-H815|6.0
LGE|VS986|5.1
samsung|SM-N7505|5.1.1
samsung|SM-G531BT|5.1.1
samsung|SM-N910S|5.1.1
asus|ASUS_Z00ED|5.0.2
LGE|LS775|6.0
Sony|E5506|5.0
motorola|MotoG3|6.0
LGE|LGUS550|5.0.2
LGE|LGL33L|5.0.1
asus|ASUS ZenFone 2|5.0.1
HTC|HTC Desire 625|5.1
LGE|LG-D855|6.0
motorola|XT1039|6.0.1
samsung|SM-N920C|5.1.1
samsung|SHV-E330K|5.0.1
LGE|LG-H960|5.1.1
HTC|HTC Desire 820|5.0.2
LGE|VS425PP|5.1.1
LGE|LG-H422|5.0.1
LGE|LG-H326|5.0.1
HTC|HTC One_M8|6.0
samsung|SM-G925V|5.1.1
samsung|SM-G920F|6.0.1
LGE|LG-V495|5.0.2
Sony|D5316|5.1.1
LGE|LG-F240L|5.0.1
samsung|SM-G903M|5.1.1
HTC|HTC_One_max|5.0.2
samsung|SM-T555|5.0.2
samsung|GT-S7270|5.1.1
asus|K012|5.0
samsung|GT-I8730|6.0.1
LGE|LG-H901|5.1.1
HTC|HTC One E9PLUS dual sim|5.0.2
HTC|0PJA2|5.1
LGE|LGLS991|6.0
samsung|SM-G900I|6.0.1
samsung|SM-G600FY|5.1.1
LGE|LG-H520|5.0.2
samsung|SM-G360G|5.1.1
LGE|LG-V500|6.0.1
HTC|2PQ93|6.0.1
motorola|XT1031|5.1
samsung|GT-I9082|6.0.1
Sony|E2306|5.0
samsung|SM-N920C|6.0.1
samsung|Galaxy Nexus|5.1.1
samsung|SM-T320|6.0.1
asus|ASUS_Z00TD|5.0.2
LGE|LG-F470K|5.0.2
samsung|GT-I9070|5.1.1
samsung|SM-N900S|5.0
motorola|MotoG3-TE|6.0
LGE|VS990|5.1.1
samsung|SM-G903F|6.0.1
samsung|SM-J500H|5.1.1
samsung|SM-J500F|5.1.1
samsung|SM-G900FD|5.1.1
samsung|SM-G925W8|5.1.1
motorola|XT1078|6.0
samsung|SM-E500M|5.1.1
motorola|XT1562|6.0
samsung|SM-G800H|5.1.1
HTC|HTC_0P6B|6.0
LGE|Nexus 4|6.0
Sony|Xperia Z3|5.1.1
samsung|SM-A800I|5.1.1
samsung|SM-G928V|5.1.1
LGE|LGLS770|6.0
samsung|SM-J700H|5.1.1
samsung|SM-T900|5.1.1
asus|ASUS_Z00LD|5.0.2
LGE|LGLS751|5.1.1
HTC|HTC Desire 728 dual sim|5.1
samsung|SM-J200G|5.1.1
asus|K01A|5.0
motorola|MotoE2(4G-LTE)|6.0
samsung|SM-G903F|5.1.1
LGE|VS985 4G|6.0
motorola|XT1563|6.0
Sony|SO-02G|5.0.2
asus|ASUS_Z00A|6.0.1
samsung|SM-G935F|6.0.1
Sony|E2333|5.0
samsung|SM-S906L|5.0.2
samsung|SM-G935V|6.0.1
LGE|LG-D805|5.0.2
samsung|SM-G930P|6.0.1
HTC|HTC Butterfly s|5.0.2
samsung|SM-T335|5.1.1
samsung|SM-G930T|6.0.1
